"","sample1_Tumor","sample2_Tumor","sample3_Tumor","sample4_Tumor","sample5_Tumor","sample1_Normal","sample2_Normal","sample3_Normal","sample4_Normal","sample5_Normal"
" Bilirubin","Tumor","Tumor","Tumor","Tumor","Tumor","Normal","Normal","Normal","Normal","Normal"
" Thiamine","4804.294696","6495.665035","4789.691069","3280.014235","4600.995831","10092.87793","11641.75338","4701.117921","5935.613363","5935.613363"
" 2-Aminoethyl dihydrogen phosphate","86016.86918","98347.39427","66988.22883","9136.359875","58357.37341","7695.0289","2728.945946","65454.89002","56734.33639","7749.132903"
" Raffinose","3979.226516","3157.063399","1886.101285","9548.665036","2899.573282","8492.233537","54159.08108","9073.242216","3709.504706","4531.614537"
" 1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine","3894.699972","7213.749686","8636.84486","7575.819395","7017.913251","134862.0842","67530.47889","9972.420937","10071.89337","15486.73865"
" Leucine","6508.628942","9737.824483","9783.701221","95627.8496","52613.12708","7691.465974","87026.69848","71150.7242","75964.40878","55545.05844"
" Lauric Acid","91424.28831","9782.263531","56893.14735","3833.777889","76842.69766","93199.0119","81912.11149","8177.237068","8593.555743","9747.621096"
" Stearic Acid","8942.816425","104533.877","7546.767042","7497.504448","5076.909472","8763.015895","6421.113598","39021.18443","79403.74335","7481.126447"
" Taurocholic acid","5782.318351","9642.656693","9491.084003","3606.350387","3586.391455","6176.854528","4543.788825","3253.51363","1919.816303","3586.391455"
" Myristic Acid","78725.86834","73302.98603","99147.35942","14552.75979","34591.4566","521179.1254","8707.734104","90346.62944","4559.17652","19027.41062"
" Benzoic Acid","68992.23931","8197.586005","24941.30235","69964.12578","106331.2427","34140.48813","69160.19268","54680.35777","26094.60847","56679.94191"
" 3-Methyl-L-histidine","51576.91225","4002.350814","4040.178855","2445.038701","43217.10291","6962.790534","6962.790534","5799.173817","5689.989744","4077.732636"
" Adenosine","3216.486166","3216.486166","9072.76773","51654.46575","68537.13242","4066.189018","42094.20988","3947.923511","11074.26338","56668.95648"
" Codeine","10347.16632","5144.528888","47522.15458","7710.567171","97851.80617","24474.60192","5907.283815","5398.245894","7747.611305","7816.854964"
" N-acetylputrescine","38382.485","960686.1665","6669.63198","9380.518238","9885.956251","8814.678318","7177.609634","9639.195881","48585.92121","8107.915739"
" l-Isoleucine","8028.82717","7404.16965","7404.16965","12081.23221","4687.097756","46085.55391","59861.19268","44640.09513","25058.28307","24884.25534"
" Taurine","969587.0032","9950.564604","9711.830187","41789.08585","6605.594173","8028.162458","83006.53252","8436.412111","27131.70789","38136.16596"
" gamma-Tocopherol","9531.718183","7206.6559","36570.65986","9567.092082","6047.750714","5520.753458","4216.964949","9705.840892","16443.64398","29566.05128"
" 3-(3-Hydroxyphenyl)propanoic acid","8824.872686","495094.1278","829183.9546","390703.4298","578761.1793","271333.6288","247081.0593","319258.6736","55041.00408","225813.4852"
" Capric Acid","7283.594753","9251.831495","8708.715895","50475.13479","26604.47909","50338.79653","55501.6875","63496.83775","76287.12791","70403.00134"
" Isovaleric acid","9559.718113","9973.256884","6216329.046","8346.300267","30738.38728","7194.437831","69143.13725","3086914.398","8935.611125","6984.017698"
" Palmitic Acid","25807.17703","2012.994303","16040.58812","7597.935114","16257.49871","13445.59107","7174.537201","4062.958451","21523.57432","5167.049199"
" Valine","46393.66292","97895.16952","9788.834867","98391.01639","88790.66131","97355.70509","92617.32331","88996.97199","56330.67859","93457.83157"
" 4-(Methylsulfanyl)-2-oxobutanoic acid","3241.158738","59833.1178","91054.22011","50134.61359","8658.698357","36706.28317","61035.019","50704.81237","7587.565473","44543.44173"
" L-Homoarginine","32735.54046","4053.85911","42674.66261","8829.320438","6983.729931","8829.320438","7362.156262","8433.610829","11498.91198","13465.41305"
" 3-(3-sulfooxyphenyl)propanoic Acid","5897.899602","82241.74537","49766.83085","89685.33916","9198.241873","72054.20426","693228.8039","54673.36473","8492.032457","93064.58184"
" Cholic Acid","12319.98459","19106.82873","5692.185914","28036.75089","6069.579371","6216.995252","67720.71791","4817.482226","4601.445811","4306.834929"
" Alanylphenylalanine","26176.32166","554258.9292","70736.00115","7037.979982","28753.19219","6412.375628","6394.873733","9003.423633","7573.637186","89652.48219"
" 2,4-Di-tert-butylphenol","121759.9546","23023.20868","122866.5081","18687.32829","10197.62097","6605.66435","9754.669764","5153.880853","13916.02301","5007.109862"
" Doconexent","80448.31566","6123.16992","33567.87992","56030.88923","71631.95091","6771.340398","9116.245087","9106.035793","8418.623311","64680.33226"
" creatinine","3811.603405","6240.37689","65362.59875","9831.980872","8405.245679","8240.15654","5554.10473","9870.866634","6227.282215","68530.4035"
" Caffeine","22854.26563","12953.72793","79277.85771","10610.52358","8974.003466","7126.742242","4710.418304","9278.466536","10902.03909","7737.605744"
" Xanthine","7493.142618","3779.210065","44104.17354","8552.89254","7712.792168","8552.89254","6539.19299","9825.378769","8552.89254","9339.880899"
" 2-Hydroxyglutaric acid","6482.435459","207309.1023","3278.345891","7318.992438","33873.22498","92157.74685","72786.10515","42038.19196","50141.57034","5015.064042"
" Uridine","33295.52993","5600.265503","49446.24484","128450.3327","8775.120146","6923.655474","6924.044341","118733.9054","8815.280794","7279.401158"
" 12-Hydroxystearic acid","6016.372104","57292.33292","61716.68385","75390.80472","5881.61038","5478.40594","5217.359797","79195.43025","8759.116795","58346.15817"
" Azelaic Acid","948290.4421","39790.46983","3797.870796","4596.396352","4238.397583","9320.675991","9169.739443","3999.758519","23649.12722","6637.784178"
" Thymine","39082.48325","21308.99606","7307.758668","718047.8634","9455.446625","779732.0498","51102.13682","9476.285854","82718.05019","30244.38446"
" Glycocholic acid","27383.80514","62935.14645","4093.568766","125849.8158","10824.58851","5516.2998","281289.1647","11176.26256","7801.674107","6224.666073"
" Guanine","15098.89651","9582.760573","12731.44036","12970.33719","2834.087311","183786.3992","70592.88978","10308.81956","11180.64631","11188.54909"
" Phenylalanine","11254.86123","9748.225111","11254.86123","3839.735765","53374.70467","8609.810087","8709.44848","49298.26673","10934.83892","48382.36977"
" Proline","1627.608847","6890.888905","21594.51044","18587.13123","8224.552906","2176.947636","6140.128378","17075.93283","16990.3125","7138.193455"
" beta-D-glucopyranose","3234.443553","1525.110291","46787.01658","73325.82384","31546.04759","6655.545311","5215.173142","9311.260113","6816.426074","13561.70303"
" Cianidanol","4617.278817","14116.48893","7919.161247","9838.891014","3958.26315","6928.109131","4070.459037","8307.353518","6930.135738","5262.148264"
" Citraconic acid","13379.78538","8481.2395","8216.912674","48668.13256","9325.687386","4256.805546","13089.31926","9445.607992","9546.443108","9940.734083"
" Oleic Acid","4826.73815","7606.484933","7994.963048","4017.096085","6587.197949","27119.07278","37482.67437","7934.83329","3043.725908","7928.276097"
" Alanine","7284.497977","312422.578","65987.87674","8075.653025","9935.677081","9566.455653","7156.923142","9124.019367","7443756.103","8909.053317"
" Octanoic Acid","162176.774","6276.110968","15447.82235","13637.94938","13637.94938","298343.5188","30650.8657","13637.94938","14086.49047","10656.16357"
" Guanosine","50299.61659","7136.721934","2508.299096","2002.789591","3642.960326","11734.49597","8179.184544","3868.101618","3868.101618","3868.101618"
" 2-(1H-indol-3-yl)acetaldehyde","97530.98277","69461.06785","936436.4538","4294.65347","42095.35248","22653.97268","27522.33826","423723.6909","75363.07855","26191.14704"
" Carnosine","51296.03298","7713.484041","51090.03807","79056.63523","9898.083283","97200.17753","5981.595861","74009.81368","57498.10389","96702.78106"
